name,url,address,neighborhood,zip_code,rating,raw_price,price,retrieval_year,retrieval_month,retrival_day
Los Hermanos,http://www.yelp.com/biz/los-hermanos-washington-2,1426 Park Rd NW,Columbia Heights,20010,4.5,Under $10,10.0,2015,9,13
Thip Khao,http://www.yelp.com/biz/thip-khao-washington,3462 14th St NW,Columbia Heights,20010,4.5,$11-30,20.5,2015,9,13
Room 11,http://www.yelp.com/biz/room-11-washington,3234 11th St NW,Columbia Heights,20010,4.0,$11-30,20.5,2015,9,13
Mi Cuba Cafe,http://www.yelp.com/biz/mi-cuba-cafe-washington,1424 Park Rd NW,Columbia Heights,20010,4.5,$11-30,20.5,2015,9,13
Bad Saint,http://www.yelp.com/biz/bad-saint-washington,3226 11th St NW,Columbia Heights,20010,5.0,$11-30,20.5,2015,9,13
Cava Mezze Grill,http://www.yelp.com/biz/cava-mezze-grill-washington,3105 14th St NW,Columbia Heights,20016,4.5,Under $10,10.0,2015,9,13
Kangaroo Boxing Club,http://www.yelp.com/biz/kangaroo-boxing-club-washington,3410 11th St Nw,Columbia Heights,20010,4.0,$11-30,20.5,2015,9,13
Maple,http://www.yelp.com/biz/maple-washington,3418 11th St NW,Columbia Heights,20010,4.0,$11-30,20.5,2015,9,13
El Chucho,http://www.yelp.com/biz/el-chucho-washington,3313 11th St NW,Columbia Heights,20010,3.5,$11-30,20.5,2015,9,13
El Rinconcito II,http://www.yelp.com/biz/el-rinconcito-ii-washington,1326 Park Rd,Columbia Heights,20009,4.0,$11-30,20.5,2015,9,13
Meridian Pint,http://www.yelp.com/biz/meridian-pint-washington,3400 11th St NW,Columbia Heights,20010,3.5,$11-30,20.5,2015,9,13
The Pinch,http://www.yelp.com/biz/the-pinch-washington,3548 14th St NW,Columbia Heights,20010,4.0,$11-30,20.5,2015,9,13
The Coupe,http://www.yelp.com/biz/the-coupe-washington,3415 11th St NW,Columbia Heights,20010,3.5,$11-30,20.5,2015,9,13
Pho 14,http://www.yelp.com/biz/pho-14-washington,1436 Park Rd NW,Columbia Heights,20010,4.0,$11-30,20.5,2015,9,13
The Heights,http://www.yelp.com/biz/the-heights-washington-2,3115 14th St NW,Columbia Heights,20010,3.5,$11-30,20.5,2015,9,13
RedRocks Columbia Heights,http://www.yelp.com/biz/redrocks-columbia-heights-washington,1036 Park Rd NW,Columbia Heights,20010,3.5,$11-30,20.5,2015,9,13
The Wonderland Ballroom,http://www.yelp.com/biz/the-wonderland-ballroom-washington,1101 Kenyon St NW,Columbia Heights,20009,3.5,$11-30,20.5,2015,9,13
El Pollo Sabroso,http://www.yelp.com/biz/el-pollo-sabroso-washington-2,1434 Park Rd NW,Columbia Heights,20010,4.0,Under $10,10.0,2015,9,13
Le Caprice DC,http://www.yelp.com/biz/le-caprice-dc-washington,3460 14th St NW,Columbia Heights,20010,4.0,Under $10,10.0,2015,9,13
Z-Burger,http://www.yelp.com/biz/z-burger-washington-6,3301 14th St NW,Columbia Heights,20010,3.5,Under $10,10.0,2015,9,13
Donburi,http://www.yelp.com/biz/donburi-washington,2438 18th N W,Adams Morgan,20009,4.0,$11-30,20.5,2015,9,13
Amsterdam Falafelshop,http://www.yelp.com/biz/amsterdam-falafelshop-washington-4,2425 18th St NW,Adams Morgan,20009,4.5,Under $10,10.0,2015,9,13
Sakuramen,http://www.yelp.com/biz/sakuramen-washington,2441 18th St NW,Adams Morgan,20009,4.0,$11-30,20.5,2015,9,13
Songbyrd Record Cafe,http://www.yelp.com/biz/songbyrd-record-cafe-washington,2477 18th St NW,Adams Morgan,20009,4.5,$11-30,20.5,2015,9,13
Tryst,http://www.yelp.com/biz/tryst-washington,2459 18th St NW,Adams Morgan,20009,4.0,$11-30,20.5,2015,9,13
Bul,http://www.yelp.com/biz/bul-washington,2431 18th St NW,Adams Morgan,20009,4.0,$11-30,20.5,2015,9,13
Las Canteras,http://www.yelp.com/biz/las-canteras-washington,2307 18th St NW,Adams Morgan,20009,4.0,$11-30,20.5,2015,9,13
Mintwood Place,http://www.yelp.com/biz/mintwood-place-washington,1813 Columbia Rd NW,Adams Morgan,20009,4.0,$31-60,45.5,2015,9,13
Mama Ayesha's,http://www.yelp.com/biz/mama-ayeshas-washington,1967 Calvert St NW,Adams Morgan,20009,4.0,$11-30,20.5,2015,9,13
So's Your Mom,http://www.yelp.com/biz/sos-your-mom-washington,1831 Columbia Rd NW,Adams Morgan,20009,4.0,Under $10,10.0,2015,9,13
Astor Mediterranean,http://www.yelp.com/biz/astor-mediterranean-washington,1829 Columbia Rd NW,Adams Morgan,20009,4.0,Under $10,10.0,2015,9,13
Pleasant Pops Farmhouse Market & Cafe,http://www.yelp.com/biz/pleasant-pops-farmhouse-market-and-cafe-washington,1781 Florida Ave NW,Adams Morgan,20009,4.5,Under $10,10.0,2015,9,13
Perry's Restaurant,http://www.yelp.com/biz/perrys-restaurant-washington,1811 Columbia Rd Nw,Adams Morgan,20009,4.0,$11-30,20.5,2015,9,13
